Date,삼성전자,SK하이닉스,NAVER,카카오,POSCO홀딩스
2023-03-02,57341.98046875,85858.09375,203784.328125,61042.09765625,311267.4375
2023-03-03,57059.03515625,85078.453125,203289.71875,60842.61328125,306649.25
2023-03-06,58002.16015625,87417.390625,212192.890625,63435.90625,304340.125
2023-03-07,57247.66796875,86637.7265625,208730.546875,61341.32421875,309420.15625
2023-03-08,56870.4140625,84591.1640625,200321.96875,58947.515625,303878.25
2023-03-09,56681.7890625,83421.7109375,199827.359375,58847.7734375,297874.65625
2023-03-10,56115.9140625,81180.234375,197651.015625,57950.09375,296027.375
2023-03-13,56587.4765625,82154.7890625,200321.96875,60643.12890625,302031.03125
2023-03-14,55644.35546875,79036.2109375,193891.890625,59246.7421875,291870.9375
2023-03-15,56398.84765625,77087.1171875,194287.59375,59147.0,301569.21875
2023-03-16,56493.16796875,76989.6484375,194980.046875,59745.453125,298336.46875
2023-03-17,57813.5390625,81862.4140625,195870.375,60044.6796875,296489.15625
2023-03-20,56776.10546875,81570.046875,199332.734375,60842.61328125,294641.84375
2023-03-21,56870.4140625,81472.59375,198343.484375,60742.875,294641.84375
2023-03-22,57624.9140625,84688.6171875,204773.578125,62538.23046875,304801.9375
2023-03-23,58756.65625,86247.90625,201805.84375,61441.06640625,303878.25
2023-03-24,59416.84765625,85078.453125,200321.96875,61241.58203125,297412.8125
2023-03-27,58568.0390625,83324.2578125,197156.390625,60543.390625,306649.25
2023-03-28,59322.54296875,86150.453125,197354.234375,60543.390625,313114.78125
2023-03-29,59133.9140625,84688.6171875,196958.546875,60244.16015625,314962.0
2023-03-30,59950.640625,86840.0625,198838.09375,59944.9375,315892.5
2023-03-31,60709.51171875,86644.4765625,199827.359375,60942.359375,342410.6875
2023-04-03,59855.78515625,85275.375,196068.21875,60044.6796875,364741.8125
2023-04-04,60330.078125,82634.9609375,198838.09375,60543.390625,341480.21875
2023-04-05,60614.65234375,82732.765625,197057.484375,60343.90625,347528.25
2023-04-06,59096.91796875,81950.4140625,189835.984375,58448.8046875,337293.125
2023-04-07,61658.09765625,87133.453125,191319.84375,58448.8046875,343806.40625
2023-04-10,62322.109375,88698.125,190924.140625,57950.09375,370789.84375
2023-04-11,62511.82421875,89773.8515625,197749.9375,59147.0,369394.1875
2023-04-12,62606.6875,88306.9609375,195870.375,58548.546875,378233.5625
2023-04-13,62701.54296875,86742.2734375,194287.59375,59346.48046875,364276.625
2023-04-14,61752.9609375,87329.0234375,196859.625,60343.90625,387073.0
2023-04-17,61942.6796875,86546.6875,194881.125,59944.9375,394051.4375
2023-04-18,62227.25390625,85666.5625,190726.3125,58847.7734375,385677.28125
2023-04-19,62132.390625,86253.3125,189341.359375,58448.8046875,383351.0625
2023-04-20,61942.6796875,85764.34375,189539.21875,57750.609375,381024.96875
2023-04-21,62322.109375,87133.453125,188253.203125,57750.609375,368463.65625
2023-04-24,61847.81640625,85275.375,187956.421875,57052.41796875,370789.84375
2023-04-25,60330.078125,83612.90625,184098.359375,55855.515625,353111.03125
2023-04-26,60804.375,85470.984375,186076.859375,56354.22265625,345667.3125
2023-04-27,61278.6640625,86840.0625,186175.765625,55656.03125,360089.53125
2023-04-28,62132.390625,87524.609375,190231.671875,57950.09375,350784.84375
2023-05-02,62322.109375,88209.1640625,191122.0,58349.0625,355437.21875
2023-05-03,62037.53515625,87818.0078125,190528.453125,58149.578125,353576.25
2023-05-04,61752.9609375,86742.2734375,193990.8125,57052.41796875,352645.84375
2023-05-08,62511.82421875,86742.2734375,204773.578125,57551.12890625,341945.46875
2023-05-09,61942.6796875,85373.1796875,208730.546875,57351.64453125,346132.5625
2023-05-10,61278.6640625,84982.0,207741.3125,56354.22265625,340549.84375
2023-05-11,60899.234375,84395.2421875,208730.546875,55855.515625,337293.125
2023-05-12,60804.375,85275.375,211203.671875,56453.96875,338223.625
2023-05-15,61183.8125,84493.0390625,209719.8125,56653.453125,342410.6875
